,d1,d2,d3,d4,d5,ruangan
470,-55.0,-63.0,-37.0,-58.0,-49.0,303
471,-51.0,-61.0,-37.0,-62.0,-46.0,303
472,-48.0,-59.0,-37.0,-61.0,-54.0,303
473,-48.0,-60.0,-36.0,-66.0,-54.0,303
474,-45.0,-53.0,-35.0,-64.0,-53.0,303
475,-45.0,-59.0,-31.0,-63.0,-54.0,303
476,-47.0,-54.0,-32.0,-71.0,-55.0,303
477,-47.0,-54.0,-28.0,-66.0,-54.0,303
478,-59.0,-60.0,-27.0,-65.0,-54.0,303
479,-58.0,-60.0,-30.0,-64.0,-56.0,303
